symbol,name,sector,market,added_date,removed_date
MMM,3M,Industrials,US,"",""
AOS,A. O. Smith,Industrials,US,"",""
ABT,Abbott Laboratories,Health Care,US,"",""
ABBV,AbbVie,Health Care,US,"",""
ACN,Accenture,Information Technology,US,"",""
ADBE,Adobe Inc.,Information Technology,US,"",""
AMD,Advanced Micro Devices,Information Technology,US,"",""
AES,AES Corporation,Utilities,US,"",""
AFL,Aflac,Financials,US,"",""
A,Agilent Technologies,Health Care,US,"",""
APD,Air Products,Materials,US,"",""
ABNB,Airbnb,Consumer Discretionary,US,"",""
AKAM,Akamai Technologies,Information Technology,US,"",""
ALB,Albemarle Corporation,Materials,US,"",""
ARE,Alexandria Real Estate Equities,Real Estate,US,"",""
ALGN,Align Technology,Health Care,US,"",""
ALLE,Allegion,Industrials,US,"",""
LNT,Alliant Energy,Utilities,US,"",""
ALL,Allstate,Financials,US,"",""
GOOGL,Alphabet Inc. (Class A),Communication Services,US,"",""
GOOG,Alphabet Inc. (Class C),Communication Services,US,"",""
MO,Altria,Consumer Staples,US,"",""
AMZN,Amazon,Consumer Discretionary,US,"",""
AMCR,Amcor,Materials,US,"",""
AEE,Ameren,Utilities,US,"",""
AEP,American Electric Power,Utilities,US,"",""
AXP,American Express,Financials,US,"",""
AIG,American International Group,Financials,US,"",""
AMT,American Tower,Real Estate,US,"",""
AWK,American Water Works,Utilities,US,"",""
AMP,Ameriprise Financial,Financials,US,"",""
AME,Ametek,Industrials,US,"",""
AMGN,Amgen,Health Care,US,"",""
APH,Amphenol,Information Technology,US,"",""
ADI,Analog Devices,Information Technology,US,"",""
AON,Aon plc,Financials,US,"",""
APA,APA Corporation,Energy,US,"",""
APO,Apollo Global Management,Financials,US,"",""
AAPL,Apple Inc.,Information Technology,US,"",""
AMAT,Applied Materials,Information Technology,US,"",""
APP,AppLovin,Information Technology,US,"",""
APTV,Aptiv,Consumer Discretionary,US,"",""
ACGL,Arch Capital Group,Financials,US,"",""
ADM,Archer Daniels Midland,Consumer Staples,US,"",""
ARES,Ares Management,Financials,US,"",""
ANET,Arista Networks,Information Technology,US,"",""
AJG,Arthur J. Gallagher & Co.,Financials,US,"",""
AIZ,Assurant,Financials,US,"",""
T,AT&T,Communication Services,US,"",""
ATO,Atmos Energy,Utilities,US,"",""
ADSK,Autodesk,Information Technology,US,"",""
ADP,Automatic Data Processing,Industrials,US,"",""
AZO,AutoZone,Consumer Discretionary,US,"",""
AVB,AvalonBay Communities,Real Estate,US,"",""
AVY,Avery Dennison,Materials,US,"",""
AXON,Axon Enterprise,Industrials,US,"",""
BKR,Baker Hughes,Energy,US,"",""
